t_us,x_gal,y_gal,z_gal
473843058,-6.40963,-18.11092,982.83423
473853058,-6.55869,-18.11092,982.90876
473863058,-6.33510,-17.66374,982.75970
473873058,-6.26057,-17.96186,983.13235
473883058,-6.63322,-18.25998,983.50501
473893058,-6.55869,-18.25998,983.35594
473903058,-6.70775,-18.03639,983.28141
473913058,-6.40963,-18.11092,982.98329
473923058,-6.85681,-18.25998,983.20688
473933058,-6.55869,-18.03639,983.05782
473943058,-6.33510,-18.25998,983.20688
473953058,-6.33510,-18.40904,983.43048
473963058,-6.33510,-17.88733,983.35594
473973058,-6.18603,-17.96186,982.61064
473983058,-6.48416,-18.03639,983.20688
473993058,-6.26057,-18.11092,983.13235
474003058,-6.48416,-17.73827,983.13235
474013058,-6.33510,-17.73827,983.05782
474023058,-6.40963,-18.11092,983.20688
474033058,-6.40963,-18.03639,983.28141
474043058,-6.33510,-18.11092,983.28141
474053058,-6.40963,-18.11092,982.83423
474063058,-6.63322,-18.40904,983.13235
474073058,-6.26057,-18.03639,982.90876
474083058,-6.18603,-18.03639,982.75970
474093058,-6.40963,-18.03639,983.20688
474103058,-6.33510,-18.18545,983.20688
474113058,-6.03697,-18.03639,983.05782
474123058,-6.33510,-17.96186,982.90876
474133058,-6.26057,-18.18545,982.98329
474143058,-6.55869,-18.11092,982.98329
474153058,-6.26057,-18.03639,982.61064
474163058,-6.70775,-17.88733,982.90876
474173058,-6.40963,-18.03639,983.20688
474183058,-6.48416,-18.03639,983.50501
474193058,-6.33510,-17.96186,982.98329
474203058,-6.63322,-18.03639,982.98329
474213058,-6.48416,-18.33451,983.13235
474223058,-6.26057,-18.18545,982.90876
474233058,-6.48416,-18.33451,982.90876
474243058,-6.70775,-18.11092,983.35594
474253058,-6.33510,-17.58921,982.75970
474263058,-6.33510,-17.96186,983.05782
474273058,-6.63322,-18.11092,983.13235
474283058,-6.33510,-18.11092,983.05782
474293058,-6.55869,-18.25998,982.75970
474303058,-6.40963,-18.18545,983.28141
474313058,-6.40963,-17.96186,982.90876
474323058,-6.55869,-18.40904,982.90876
474333058,-6.40963,-18.25998,982.68517
474343058,-6.78228,-17.88733,982.61064
474353058,-6.63322,-18.03639,983.43048
474363058,-6.48416,-18.03639,983.13235
474373058,-6.26057,-18.25998,982.75970
474383058,-6.33510,-18.11092,983.35594
474393058,-6.40963,-18.40904,983.28141
474403058,-6.33510,-18.18545,983.13235
474413058,-6.40963,-17.88733,982.75970
474423058,-6.26057,-18.18545,982.83423
474433058,-6.78228,-18.03639,983.28141
474443058,-6.40963,-18.18545,982.90876
474453058,-6.33510,-18.03639,982.46158
474463058,-6.55869,-17.96186,983.43048
474473058,-6.33510,-18.03639,983.20688
474483058,-6.70775,-18.18545,982.98329
474493058,-6.55869,-17.88733,982.61064
474503058,-6.63322,-17.96186,982.75970
474513058,-6.33510,-18.33451,983.05782
