t_us,x_gal,y_gal,z_gal
9793058,-6.33510,-17.96186,983.05782
9803058,-6.55869,-17.88733,982.61064
9813058,-6.63322,-18.03639,982.90876
9823058,-6.63322,-18.11092,983.05782
9833058,-6.55869,-18.11092,982.83423
9843058,-6.40963,-17.96186,982.90876
9853058,-6.48416,-18.25998,982.83423
9863058,-6.63322,-18.03639,982.68517
9873058,-6.40963,-18.25998,982.98329
9883058,-6.48416,-17.96186,982.90876
9893058,-6.40963,-17.96186,982.98329
9903058,-6.33510,-18.03639,982.90876
9913058,-6.40963,-17.88733,982.31252
9923058,-6.70775,-18.25998,982.75970
9933058,-6.55869,-18.40904,982.75970
9943058,-6.63322,-18.18545,982.90876
9953058,-6.63322,-18.18545,982.75970
9963058,-6.48416,-18.03639,982.53611
9973058,-6.55869,-17.96186,982.46158
9983058,-6.63322,-18.03639,982.90876
9993058,-6.40963,-18.03639,982.75970
10003058,-6.03697,-17.96186,982.90876
10013058,-6.33510,-17.96186,982.68517
10023058,-6.48416,-18.11092,982.90876
10033058,-6.55869,-18.18545,982.61064
10043058,-6.48416,-18.11092,982.75970
10053058,-6.55869,-17.96186,982.61064
10063058,-6.63322,-18.03639,982.98329
10073058,-6.63322,-18.03639,982.61064
10083058,-6.70775,-17.88733,982.90876
10093058,-6.55869,-18.18545,982.90876
10103058,-6.33510,-18.03639,982.75970
10113058,-6.70775,-18.11092,982.75970
10123058,-6.85681,-17.88733,983.05782
10133058,-6.40963,-18.11092,982.53611
10143058,-6.33510,-18.18545,982.98329
10153058,-6.55869,-18.03639,982.90876
10163058,-6.63322,-18.18545,982.90876
10173058,-6.78228,-18.25998,983.28141
10183058,-6.55869,-17.88733,982.98329
10193058,-6.78228,-17.96186,982.68517
10203058,-6.70775,-17.88733,982.61064
10213058,-6.40963,-18.03639,982.31252
10223058,-6.55869,-17.96186,982.75970
10233058,-6.33510,-18.40904,982.46158
10243058,-6.40963,-17.88733,982.98329
10253058,-6.63322,-18.33451,982.61064
10263058,-6.78228,-18.25998,982.75970
10273058,-6.78228,-18.18545,983.05782
10283058,-6.48416,-17.88733,982.83423
10293058,-6.70775,-18.03639,982.75970
10303058,-6.78228,-18.03639,982.90876
10313058,-6.40963,-18.25998,982.68517
10323058,-6.33510,-17.88733,982.38705
10333058,-6.48416,-17.81280,982.46158
10343058,-6.63322,-18.18545,982.98329
10353058,-6.63322,-18.25998,982.75970
10363058,-6.18603,-18.25998,982.98329
10373058,-6.33510,-17.88733,982.83423
10383058,-6.40963,-18.18545,982.98329
10393058,-6.48416,-18.11092,982.98329
10403058,-6.48416,-17.73827,982.83423
10413058,-6.40963,-18.03639,983.05782
10423058,-6.55869,-18.11092,982.98329
10433058,-6.63322,-18.25998,983.20688
10443058,-6.85681,-18.03639,982.98329
10453058,-6.40963,-18.03639,982.53611
10463058,-6.40963,-18.18545,982.90876
10473058,-6.48416,-17.96186,982.61064
10483058,-6.63322,-18.03639,983.05782
10493058,-6.55869,-18.11092,983.13235
10503058,-6.40963,-17.88733,982.68517
10513058,-6.78228,-17.88733,982.46158
10523058,-6.40963,-18.18545,983.05782
10533058,-6.40963,-18.18545,982.75970
10543058,-6.63322,-18.03639,982.75970
10553058,-6.40963,-17.96186,982.31252
10563058,-6.78228,-18.03639,982.53611
10573058,-6.48416,-18.33451,983.13235
10583058,-6.70775,-18.03639,983.05782
10593058,-6.55869,-18.03639,982.46158
10603058,-6.63322,-18.18545,983.05782
10613058,-6.78228,-18.11092,982.61064
10623058,-6.48416,-18.03639,982.61064
10633058,-6.55869,-18.25998,982.90876
10643058,-6.55869,-18.18545,982.83423
10653058,-6.55869,-17.96186,982.75970
10663058,-6.78228,-17.96186,982.98329
10673058,-6.55869,-17.73827,982.90876
10683058,-6.40963,-18.18545,983.05782
10693058,-6.33510,-18.11092,982.98329
10703058,-6.55869,-18.25998,982.83423
10713058,-6.63322,-18.11092,983.13235
10723058,-6.70775,-18.03639,983.13235
10733058,-6.63322,-18.11092,982.75970
10743058,-6.48416,-17.73827,982.53611
10753058,-6.55869,-18.11092,982.90876
10763058,-6.55869,-18.03639,982.75970
10773058,-6.26057,-17.96186,982.98329
10783058,-6.48416,-18.11092,982.90876
10793058,-6.40963,-18.25998,982.90876
10803058,-6.48416,-18.25998,983.05782
10813058,-6.55869,-18.11092,982.90876
10823058,-6.78228,-18.03639,983.05782
10833058,-6.33510,-18.18545,983.05782
10843058,-6.55869,-18.18545,982.83423
10853058,-6.48416,-18.11092,982.83423
10863058,-6.55869,-17.96186,982.75970
10873058,-6.48416,-17.96186,982.83423
10883058,-6.48416,-18.25998,982.68517
10893058,-6.63322,-18.25998,983.13235
10903058,-6.18603,-18.03639,982.61064
10913058,-6.63322,-18.03639,982.75970
10923058,-6.40963,-18.25998,982.90876
10933058,-6.48416,-18.03639,983.20688
10943058,-6.33510,-17.73827,982.46158
10953058,-6.48416,-17.81280,982.61064
10963058,-6.70775,-18.18545,982.83423
10973058,-6.55869,-18.63264,983.20688
10983058,-6.55869,-18.11092,982.90876
10993058,-6.70775,-17.58921,983.13235
11003058,-6.70775,-17.81280,982.90876
11013058,-6.55869,-17.96186,983.13235
11023058,-6.48416,-18.11092,983.13235
11033058,-6.55869,-18.18545,982.75970
11043058,-6.48416,-18.03639,982.68517
11053058,-6.48416,-18.40904,983.28141
11063058,-6.70775,-18.11092,982.75970
11073058,-6.48416,-17.73827,983.05782
11083058,-6.48416,-18.18545,982.83423
11093058,-6.55869,-18.03639,982.98329
11103058,-6.55869,-18.18545,982.98329
11113058,-6.48416,-18.18545,982.98329
11123058,-6.40963,-17.96186,982.68517
11133058,-6.33510,-17.88733,982.68517
11143058,-6.48416,-18.25998,982.68517
11153058,-6.55869,-18.11092,982.83423
11163058,-6.48416,-18.25998,982.68517
11173058,-6.55869,-17.88733,983.13235
11183058,-6.48416,-18.18545,982.61064
11193058,-6.85681,-18.18545,983.35594
11203058,-6.40963,-18.25998,982.75970
11213058,-6.40963,-18.03639,982.98329
11223058,-6.78228,-17.96186,983.28141
11233058,-6.48416,-18.03639,982.83423
11243058,-6.40963,-18.11092,983.13235
11253058,-6.48416,-18.03639,982.90876
